Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),M12,2023.227,2029.856,6.629,397.74
AUD - Dólar Australiano (em Reais),N12,2027.181,2033.803,6.622,397.32
AUD - Dólar Australiano (em Reais),Q12,2031.839,2038.419,6.58,394.8
B20 - Global 2020,N12,166.9062,167.2812,0.375,384.24
B40 - Global 2040,N12,129.4687,128.625,-0.8437,864.49
BGI - Boi gordo,K12,93.28,93.37,0.09,29.7
BGI - Boi gordo,M12,94.6,95.05,0.45,148.5
BGI - Boi gordo,N12,98.15,98.0,-0.15,49.5
BGI - Boi gordo,Q12,99.5,100.0,0.5,165.0
BGI - Boi gordo,U12,100.0,100.51,0.51,168.3
BGI - Boi gordo,V12,102.65,103.09,0.44,145.2
BGI - Boi gordo,X12,103.5,103.89,0.39,128.7
BGI - Boi gordo,Z12,102.7,102.8,0.1,33.0
CAD - Dólar Canadense (em Reais),M12,2011.589,2023.418,11.829,709.74
CAD - Dólar Canadense (em Reais),N12,2020.427,2032.312,11.885,713.1
CCM - Milho,N12,25.7,25.4,-0.3,135.0
CCM - Milho,U12,25.41,24.89,-0.52,234.0
CCM - Milho,X12,25.99,25.57,-0.42,189.0
CCM - Milho,F13,27.0,26.9,-0.1,45.0
CCM - Milho,H13,25.3,25.21,-0.09,40.5
CCM - Milho,K13,25.2,25.11,-0.09,40.5
CHF - Franco Suíço (em Reais),M12,2182.637,2185.762,3.125,156.25
CNY - Iuan Chinês Onshore (em Reais),M12,3240.116,3264.642,24.526,858.41
DAP - Cupom de DI x IPCA,Q12,99192.1,99179.7,-12.4,82.22
DAP - Cupom de DI x IPCA,K13,97455.25,97443.07,-12.18,405.83
DAP - Cupom de DI x IPCA,Q14,93067.03,93055.4,-11.63,1334.73
DAP - Cupom de DI x IPCA,K15,90097.98,90086.72,-11.26,1810.94
DAP - Cupom de DI x IPCA,K17,82200.43,82190.16,-10.27,2960.93
DAP - Cupom de DI x IPCA,Q20,70616.94,70608.11,-8.83,3822.78
DDI - Cupom cambial,M12,100524.18,101077.6,553.42,701.37
DDI - Cupom cambial,N12,100413.1,100965.91,552.81,697.31
DDI - Cupom cambial,Q12,100275.18,100827.23,552.05,694.46
DDI - Cupom cambial,U12,100120.62,100671.82,551.2,688.23
DDI - Cupom cambial,V12,99928.81,100478.95,550.14,688.9
DDI - Cupom cambial,F13,99303.52,99850.22,546.7,682.61
DDI - Cupom cambial,J13,98703.48,99246.88,543.4,655.95
DDI - Cupom cambial,N13,98062.44,98602.31,539.87,646.88
DDI - Cupom cambial,V13,97303.16,97838.85,535.69,612.55
DDI - Cupom cambial,F14,96357.27,96887.75,530.48,559.54
DDI - Cupom cambial,J14,95611.38,96137.75,526.37,572.01
DDI - Cupom cambial,N14,94808.7,95330.65,521.95,554.77
DDI - Cupom cambial,V14,93920.27,94437.33,517.06,512.19
DDI - Cupom cambial,F15,92989.45,93501.39,511.94,479.53
DDI - Cupom cambial,J15,92206.01,92713.64,507.63,434.03
DDI - Cupom cambial,N15,91305.84,91808.51,502.67,420.65
DDI - Cupom cambial,V15,90282.62,90779.66,497.04,416.28
DDI - Cupom cambial,F16,89288.03,89779.59,491.56,388.17
DDI - Cupom cambial,J16,88499.22,88986.44,487.22,400.3
DDI - Cupom cambial,N16,87455.76,87937.23,481.47,386.42
DDI - Cupom cambial,V16,86465.7,86941.72,476.02,272.17
DDI - Cupom cambial,F17,85515.21,85986.0,470.79,191.98
DDI - Cupom cambial,J17,84552.68,85018.17,465.49,185.12
DDI - Cupom cambial,N17,83616.06,84076.4,460.34,106.62
DDI - Cupom cambial,V17,82560.13,83014.65,454.52,107.0
DDI - Cupom cambial,F18,81486.2,81934.81,448.61,31.94
DDI - Cupom cambial,J18,80572.65,81016.23,443.58,43.87
DDI - Cupom cambial,N18,79729.09,80168.03,438.94,79.98
DDI - Cupom cambial,F19,77910.43,78339.35,428.92,231.09
DDI - Cupom cambial,F20,74309.49,74718.59,409.1,344.25
DDI - Cupom cambial,F21,71272.97,71665.35,392.38,351.58
DDI - Cupom cambial,F22,68135.99,68511.1,375.11,374.69
DDI - Cupom cambial,F24,62767.69,63113.25,345.56,435.02
DDI - Cupom cambial,F25,59618.07,59946.29,328.22,501.47
DI1 - DI de 1 dia,M12,99769.23,99735.96,-33.27,1.62
DI1 - DI de 1 dia,N12,99147.17,99114.11,-33.06,0.68
DI1 - DI de 1 dia,Q12,98488.87,98456.03,-32.84,0.15
DI1 - DI de 1 dia,U12,97827.86,97795.24,-32.62,2.61
DI1 - DI de 1 dia,V12,97271.72,97239.28,-32.44,6.02
DI1 - DI de 1 dia,F13,95507.81,95475.96,-31.85,35.68
DI1 - DI de 1 dia,J13,93793.17,93761.89,-31.28,69.7
DI1 - DI de 1 dia,N13,91918.99,91888.34,-30.65,152.86
DI1 - DI de 1 dia,V13,89858.21,89828.24,-29.97,228.9
DI1 - DI de 1 dia,F14,87762.91,87733.64,-29.27,329.39
DI1 - DI de 1 dia,J14,85881.75,85853.11,-28.64,369.7
DI1 - DI de 1 dia,N14,83915.07,83887.09,-27.98,439.8
DI1 - DI de 1 dia,V14,81757.88,81730.61,-27.27,498.5
DI1 - DI de 1 dia,F15,79707.12,79680.54,-26.58,576.82
DI1 - DI de 1 dia,J15,77704.17,77678.26,-25.91,613.07
DI1 - DI de 1 dia,N15,75802.47,75777.19,-25.28,691.46
DI1 - DI de 1 dia,V15,73802.25,73777.64,-24.61,751.34
DI1 - DI de 1 dia,F16,71866.69,71842.72,-23.97,737.22
DI1 - DI de 1 dia,J16,70093.77,70070.39,-23.38,756.82
DI1 - DI de 1 dia,N16,68290.14,68267.37,-22.77,795.15
DI1 - DI de 1 dia,V16,66469.91,66447.74,-22.17,784.74
DI1 - DI de 1 dia,F17,64780.56,64758.96,-21.6,873.93
DI1 - DI de 1 dia,J17,63106.33,63085.28,-21.05,951.29
DI1 - DI de 1 dia,N17,61528.31,61507.79,-20.52,959.09
DI1 - DI de 1 dia,V17,59998.44,59978.43,-20.01,880.93
DI1 - DI de 1 dia,F18,58419.19,58399.71,-19.48,956.73
DI1 - DI de 1 dia,F19,52631.26,52613.71,-17.55,1079.26
DI1 - DI de 1 dia,F20,47429.23,47413.41,-15.82,1054.81
DI1 - DI de 1 dia,V20,43743.64,43729.05,-14.59,933.16
DI1 - DI de 1 dia,F21,42705.21,42690.97,-14.24,1041.02
DI1 - DI de 1 dia,F22,38289.82,38277.05,-12.77,1018.09
DI1 - DI de 1 dia,F23,34355.58,34344.12,-11.46,964.99
DOL - Dólar comercial,M12,2050.773,2064.805,14.032,701.6
DOL - Dólar comercial,N12,2061.381,2075.466,14.085,704.25
DOL - Dólar comercial,Q12,2072.365,2086.468,14.103,705.15
DOL - Dólar comercial,U12,2083.198,2097.329,14.131,706.55
DOL - Dólar comercial,V12,2090.98,2105.279,14.299,714.95
DOL - Dólar comercial,X12,2099.7,2114.28,14.58,729.0
DOL - Dólar comercial,Z12,2107.66,2122.495,14.835,741.75
DOL - Dólar comercial,F13,2115.655,2130.744,15.089,754.45
DOL - Dólar comercial,G13,2124.913,2140.177,15.264,763.2
DOL - Dólar comercial,H13,2132.515,2147.932,15.417,770.85
DOL - Dólar comercial,J13,2141.003,2156.586,15.583,779.15
DOL - Dólar comercial,K13,2150.602,2166.901,16.299,814.95
DOL - Dólar comercial,M13,2159.791,2176.815,17.024,851.2
DOL - Dólar comercial,N13,2168.579,2186.266,17.687,884.35
DOL - Dólar comercial,Q13,2179.431,2197.633,18.202,910.1
DOL - Dólar comercial,V13,2199.845,2219.089,19.244,962.2
DOL - Dólar comercial,F14,2228.858,2249.982,21.124,1056.2
DOL - Dólar comercial,J14,2258.417,2281.467,23.05,1152.5
DOL - Dólar comercial,V14,2327.427,2354.156,26.729,1336.45
DOL - Dólar comercial,F15,2361.661,2390.794,29.133,1456.65
DOL - Dólar comercial,J15,2401.629,2431.759,30.13,1506.5
DOL - Dólar comercial,N15,2435.108,2468.43,33.322,1666.1
DOL - Dólar comercial,V15,2470.474,2506.918,36.444,1822.2
DOL - Dólar comercial,F16,2509.517,2546.075,36.558,1827.9
DOL - Dólar comercial,J16,2548.461,2587.412,38.951,1947.55
DOL - Dólar comercial,V16,2626.568,2665.78,39.212,1960.6
DOL - Dólar comercial,F17,2663.358,2705.23,41.872,2093.6
DOL - Dólar comercial,J17,2699.173,2745.744,46.571,2328.55
DOL - Dólar comercial,F18,2811.323,2858.473,47.15,2357.5
DOL - Dólar comercial,F21,3354.848,3420.184,65.336,3266.8
ETH - Etanol Hidratado,K12,1164.0,1138.5,-25.5,765.0
ETH - Etanol Hidratado,M12,1158.5,1145.0,-13.5,405.0
ETH - Etanol Hidratado,N12,1160.0,1154.0,-6.0,180.0
ETH - Etanol Hidratado,Q12,1178.0,1175.0,-3.0,90.0
ETH - Etanol Hidratado,U12,1180.0,1177.0,-3.0,90.0
ETH - Etanol Hidratado,V12,1198.0,1195.0,-3.0,90.0
ETH - Etanol Hidratado,X12,1213.0,1210.0,-3.0,90.0
ETH - Etanol Hidratado,Z12,1221.0,1218.0,-3.0,90.0
ETH - Etanol Hidratado,F13,1228.0,1225.0,-3.0,90.0
ETH - Etanol Hidratado,G13,1243.0,1240.0,-3.0,90.0
ETH - Etanol Hidratado,H13,1253.0,1250.0,-3.0,90.0
EUR - Euro (em Reais),M12,2622.659,2626.155,3.496,174.8
EUR - Euro (em Reais),N12,2636.011,2639.514,3.503,175.15
EUR - Euro (em Reais),Q12,2649.753,2653.211,3.458,172.9
EUR - Euro (em Reais),V12,2672.613,2676.209,3.596,179.8
EUR - Euro (em Reais),Z12,2692.8,2696.813,4.013,200.65
EUR - Euro (em Reais),F13,2702.513,2706.859,4.346,217.3
EUR - Euro (em Reais),J13,2733.929,2738.773,4.844,242.2
EUR - Euro (em Reais),V13,2802.994,2812.549,9.555,477.75
EUR - Euro (em Reais),J14,2870.001,2885.172,15.171,758.55
EUR - Euro (em Reais),V14,2951.903,2972.112,20.209,1010.45
EUR - Euro (em Reais),J15,3040.455,3065.747,25.292,1264.6
EUR - Euro (em Reais),V15,3124.687,3157.597,32.91,1645.5
EUR - Euro (em Reais),J16,3218.916,3256.962,38.046,1902.3
EUR - Euro (em Reais),V16,3315.323,3352.851,37.528,1876.4
EUR - Euro (em Reais),J17,3403.913,3453.485,49.572,2478.6
EUR - Euro (em Reais),V17,3499.364,3546.869,47.505,2375.25
FRC - FRA de cupom,N12,1.25,1.28,0.03,0.01
FRC - FRA de cupom,Q12,1.44,1.47,0.03,0.01
FRC - FRA de cupom,U12,1.5,1.54,0.04,0.02
FRC - FRA de cupom,V12,1.73,1.76,0.03,0.01
FRC - FRA de cupom,F13,2.04,2.06,0.02,0.01
FRC - FRA de cupom,J13,2.15,2.18,0.03,0.01
FRC - FRA de cupom,N13,2.25,2.29,0.04,0.02
FRC - FRA de cupom,V13,2.4,2.45,0.05,0.02
FRC - FRA de cupom,F14,2.61,2.68,0.07,0.03
FRC - FRA de cupom,J14,2.71,2.77,0.06,0.03
FRC - FRA de cupom,N14,2.8,2.86,0.06,0.03
