Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ABEVO - Contrato Futuro de ABEV3,N24,11.43,11.56,0.13,0.13
ABEVO - Contrato Futuro de ABEV3,Q24,11.52,11.65,0.13,0.13
AFS - Rande da África do Sul (em USD),Q24,18147.6,17995.1,-152.5,461.27
AFS - Rande da África do Sul (em USD),U24,18190.2,18040.0,-150.2,454.31
AFS - Rande da África do Sul (em USD),V24,18235.0,18080.6,-154.4,467.01
AFS - Rande da África do Sul (em USD),X24,18283.4,18127.5,-155.9,471.55
AFS - Rande da África do Sul (em USD),Z24,18322.9,18167.5,-155.4,470.04
ARB - Peso Argentino (em Reais),Q24,5.764,5.807,0.043,6.45
ARB - Peso Argentino (em Reais),U24,5.548,5.59,0.042,6.3
ARB - Peso Argentino (em Reais),V24,5.328,5.39,0.062,9.3
ARB - Peso Argentino (em Reais),X24,5.044,5.112,0.068,10.2
ARB - Peso Argentino (em Reais),Z24,4.809,4.873,0.064,9.6
ARS - Peso Argentino (em USD),Q24,940565.3,938753.7,-1811.6,107.2
ARS - Peso Argentino (em USD),U24,980183.9,978205.1,-1978.8,117.09
ARS - Peso Argentino (em USD),V24,1023686.4,1017592.6,-6093.8,360.6
ARS - Peso Argentino (em USD),X24,1084922.4,1076479.4,-8443.0,499.61
ARS - Peso Argentino (em USD),Z24,1140862.2,1132345.8,-8516.4,503.95
AUD - Dólar Australiano (em Reais),Q24,3657.788,3687.636,29.848,1790.88
AUD - Dólar Australiano (em Reais),U24,3672.285,3702.552,30.267,1816.02
AUD - Dólar Australiano (em Reais),V24,3685.799,3715.789,29.99,1799.4
AUD - Dólar Australiano (em Reais),X24,3700.237,3730.261,30.024,1801.44
AUD - Dólar Australiano (em Reais),Z24,3711.408,3741.576,30.168,1810.08
AUS - Dólar Australiano (em USD),Q24,674.715,676.473,1.758,95.6
AUS - Dólar Australiano (em USD),U24,675.251,677.055,1.804,98.1
AUS - Dólar Australiano (em USD),V24,675.774,677.488,1.714,93.21
AUS - Dólar Australiano (em USD),X24,676.194,677.858,1.664,90.49
AUS - Dólar Australiano (em USD),Z24,676.504,678.146,1.642,89.29
B3SAO - Contrato Futuro de B3SA3,N24,10.76,11.08,0.32,0.32
B3SAO - Contrato Futuro de B3SA3,Q24,10.84,11.16,0.32,0.32
BBASO - Contrato Futuro de BBAS3,N24,26.68,26.54,-0.14,0.14
BBASO - Contrato Futuro de BBAS3,Q24,26.89,26.75,-0.14,0.14
BBDCP - Contrato Futuro de BBDC4,N24,12.7,12.7,0.0,0.0
BBDCP - Contrato Futuro de BBDC4,Q24,12.8,12.8,0.0,0.0
BGI - Boi gordo,N24,233.1,232.7,-0.4,132.0
BGI - Boi gordo,Q24,237.6,237.15,-0.45,148.5
BGI - Boi gordo,U24,239.65,239.0,-0.65,214.5
BGI - Boi gordo,V24,245.05,244.0,-1.05,346.5
BGI - Boi gordo,X24,246.7,246.2,-0.5,165.0
BGI - Boi gordo,Z24,248.5,247.4,-1.1,363.0
BGI - Boi gordo,F25,249.8,249.8,0.0,0.0
BHIAO - Contrato Futuro de BHIA3,N24,5.63,5.8,0.17,0.17
BHIAO - Contrato Futuro de BHIA3,Q24,5.67,5.82,0.15,0.15
BIT - Futuro de Bitcoin,N24,312867.65,314162.81,1295.16,129.51
BIT - Futuro de Bitcoin,Q24,312867.65,314162.81,1295.16,129.51
BRI - Futuro do Índice Brasil 50,Q24,21472.0,21640.0,168.0,1680.0
BRI - Futuro do Índice Brasil 50,V24,21817.0,21987.0,170.0,1700.0
CAD - Dólar Canadense (em Reais),Q24,3982.222,4001.152,18.93,1135.8
CAD - Dólar Canadense (em Reais),U24,3998.03,4017.252,19.222,1153.32
